         30121 function calls (29775 primitive calls) in 1.153 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 pool.py:738(__exit__)
        1    0.000    0.000    0.003    0.003 pool.py:654(terminate)
        1    0.000    0.000    0.002    0.002 pool.py:680(_terminate_pool)
       75    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       33    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.002    0.002 textwrap.py:17(TextWrapper)
        4    0.002    0.001    0.002    0.001 {built-in method posix.fork}
        6    0.000    0.000    0.002    0.000 _parser.py:972(parse)
     23/6    0.000    0.000    0.002    0.000 _parser.py:449(_parse_sub)
     29/6    0.001    0.000    0.002    0.000 _parser.py:509(_parse)
     8877    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.002    0.001 context.py:110(SimpleQueue)
        1    0.000    0.000    0.001    0.001 pool.py:345(_setup_queues)
        1    0.000    0.000    0.001    0.001 pool.py:671(_help_stuff_finish)
        1    0.001    0.001    0.001    0.001 {method 'acquire' of '_multiprocessing.SemLock' objects}
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
       11    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        3    0.000    0.000    0.001    0.000 queues.py:339(__init__)
        6    0.000    0.000    0.001    0.000 context.py:65(Lock)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.001    0.001 locale.py:1(<module>)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        6    0.000    0.000    0.001    0.000 _compiler.py:571(_code)
        3    0.000    0.000    0.001    0.000 threading.py:938(start)
        5    0.000    0.000    0.001    0.000 threading.py:1118(_wait_for_tstate_lock)
        3    0.000    0.000    0.001    0.000 threading.py:1080(join)
      351    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     42/6    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
      127    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        6    0.000    0.000    0.000    0.000 synchronize.py:166(__init__)
        6    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        4    0.000    0.000    0.000    0.000 pool.py:179(Process)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      499    0.000    0.000    0.000    0.000 _parser.py:254(get)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       20    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        4    0.000    0.000    0.000    0.000 process.py:80(__init__)
       20    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 util.py:186(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:350(namedtuple)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calc_chunking.py:6(get_file_chunks)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:849(__init__)
      575    0.000    0.000    0.000    0.000 _parser.py:233(__next)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      251    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       22    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       11    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        5    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       35    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        3    0.000    0.000    0.000    0.000 queues.py:369(put)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       43    0.000    0.000    0.000    0.000 calc_chunking.py:19(is_new_line)
        6    0.000    0.000    0.000    0.000 synchronize.py:119(_make_name)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
      405    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        6    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
  634/587    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      226    0.000    0.000    0.000    0.000 _parser.py:164(__getitem__)
      406    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       11    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x860f60}
        6    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
       43    0.000    0.000    0.000    0.000 _parser.py:309(_class_escape)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
       21    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       22    0.000    0.000    0.000    0.000 {built-in method posix.close}
    39/15    0.000    0.000    0.000    0.000 _parser.py:174(getwidth)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        4    0.000    0.000    0.000    0.000 util.py:433(_flush_std_streams)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
       48    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.000    0.000 threading.py:555(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      742    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       43    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedRandom' objects}
      652    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       15    0.000    0.000    0.000    0.000 popen_fork.py:24(poll)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
      455    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      202    0.000    0.000    0.000    0.000 _parser.py:249(match)
        4    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
        5    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       11    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.000    0.000 connection.py:181(send_bytes)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
        1    0.000    0.000    0.000    0.000 pool.py:471(_map_async)
      175    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        4    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:1509(__and__)
        3    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
        6    0.000    0.000    0.000    0.000 random.py:480(choices)
      217    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 random.py:119(__init__)
       22    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
       13    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
        3    0.000    0.000    0.000    0.000 connection.py:389(_send_bytes)
        6    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
       32    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        5    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       79    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 util.py:463(close_fds)
        6    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       19    0.000    0.000    0.000    0.000 _parser.py:446(_uniq)
       20    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        3    0.000    0.000    0.000    0.000 connection.py:515(Pipe)
        6    0.000    0.000    0.000    0.000 random.py:493(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        4    0.000    0.000    0.000    0.000 process.py:153(is_alive)
      215    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 process.py:224(exitcode)
       43    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedRandom' objects}
       72    0.000    0.000    0.000    0.000 _parser.py:286(tell)
       85    0.000    0.000    0.000    0.000 _parser.py:160(__len__)
      206    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        3    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 context.py:41(cpu_count)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f9e36588220}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
       29    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        2    0.000    0.000    0.000    0.000 threading.py:1185(is_alive)
      206    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
       58    0.000    0.000    0.000    0.000 _parser.py:172(append)
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
       29    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 process.py:128(terminate)
        1    0.000    0.000    0.000    0.000 pool.py:796(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        6    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        3    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:686(__call__)
        1    0.000    0.000    0.000    0.000 pool.py:173(Pool)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       33    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      9/6    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 popen_fork.py:56(terminate)
       45    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       88    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       35    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        6    0.000    0.000    0.000    0.000 connection.py:130(__del__)
       74    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       42    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        5    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
       78    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 pool.py:747(__init__)
       20    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        3    0.000    0.000    0.000    0.000 connection.py:364(_send)
        6    0.000    0.000    0.000    0.000 _parser.py:224(__init__)
       49    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       79    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       16    0.000    0.000    0.000    0.000 _parser.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        5    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
       46    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
        8    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
       60    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 tempfile.py:665(SpooledTemporaryFile)
        3    0.000    0.000    0.000    0.000 threading.py:1317(_make_invoke_excepthook)
        6    0.000    0.000    0.000    0.000 _parser.py:369(_escape)
        7    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        6    0.000    0.000    0.000    0.000 connection.py:359(_close)
        1    0.000    0.000    0.000    0.000 process.py:142(join)
        5    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        2    0.000    0.000    0.000    0.000 popen_fork.py:46(_send_signal)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        6    0.000    0.000    0.000    0.000 weakref.py:105(remove)
       40    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        9    0.000    0.000    0.000    0.000 threading.py:1446(current_thread)
        2    0.000    0.000    0.000    0.000 _parser.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:48(getsize)
        3    0.000    0.000    0.000    0.000 threading.py:1044(_stop)
        1    0.000    0.000    0.000    0.000 contextlib.py:260(contextmanager)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
       71    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       26    0.000    0.000    0.000    0.000 _parser.py:79(groups)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       90    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 connection.py:114(_ConnectionBase)
        3    0.000    0.000    0.000    0.000 {built-in method posix.write}
        7    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        3    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
        3    0.000    0.000    0.000    0.000 threading.py:804(_newname)
        1    0.000    0.000    0.000    0.000 queues.py:35(Queue)
        3    0.000    0.000    0.000    0.000 synchronize.py:94(__enter__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
       33    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 tempfile.py:840(TemporaryDirectory)
        4    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
       12    0.000    0.000    0.000    0.000 enum.py:1091(__new__)
        6    0.000    0.000    0.000    0.000 threading.py:1199(daemon)
        6    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 pool.py:745(ApplyResult)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        4    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
        6    0.000    0.000    0.000    0.000 weakref.py:347(__new__)
       20    0.000    0.000    0.000    0.000 util.py:48(debug)
        1    0.000    0.000    0.000    0.000 subprocess.py:470(CompletedProcess)
        2    0.000    0.000    0.000    0.000 {built-in method posix.kill}
        1    0.000    0.000    0.000    0.000 popen_fork.py:36(wait)
        1    0.000    0.000    0.000    0.000 subprocess.py:126(CalledProcessError)
        4    0.000    0.000    0.000    0.000 threading.py:276(_acquire_restore)
        4    0.000    0.000    0.000    0.000 process.py:205(daemon)
        6    0.000    0.000    0.000    0.000 _parser.py:956(fix_flags)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
       16    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        6    0.000    0.000    0.000    0.000 connection.py:117(__init__)
       18    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 threading.py:1214(daemon)
       48    0.000    0.000    0.000    0.000 {built-in method math.floor}
        1    0.000    0.000    0.000    0.000 pool.py:279(_get_sentinels)
       44    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 traceback.py:372(StackSummary)
        1    0.000    0.000    0.000    0.000 pool.py:921(ThreadPool)
        4    0.000    0.000    0.000    0.000 process.py:193(name)
        3    0.000    0.000    0.000    0.000 synchronize.py:97(__exit__)
        6    0.000    0.000    0.000    0.000 weakref.py:352(__init__)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        6    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
       48    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 __init__.py:253(escape)
        1    0.000    0.000    0.000    0.000 subprocess.py:163(TimeoutExpired)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        1    0.000    0.000    0.000    0.000 queues.py:337(SimpleQueue)
        1    0.000    0.000    0.000    0.000 traceback.py:638(TracebackException)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
       29    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
       15    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
        1    0.000    0.000    0.000    0.000 synchronize.py:368(Barrier)
        3    0.000    0.000    0.000    0.000 enum.py:193(__get__)
        4    0.000    0.000    0.000    0.000 threading.py:273(_release_save)
        4    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
       11    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 traceback.py:247(FrameSummary)
        9    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 connection.py:347(Connection)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        2    0.000    0.000    0.000    0.000 _parser.py:297(checkgroupname)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        3    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
       11    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 queue.py:242(LifoQueue)
        1    0.000    0.000    0.000    0.000 random.py:215(__init_subclass__)
       14    0.000    0.000    0.000    0.000 _compiler.py:426(_get_iscased)
        2    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
        1    0.000    0.000    0.000    0.000 synchronize.py:215(Condition)
        6    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        8    0.000    0.000    0.000    0.000 process.py:189(name)
       12    0.000    0.000    0.000    0.000 threading.py:568(is_set)
        1    0.000    0.000    0.000    0.000 connection.py:431(Listener)
        1    0.000    0.000    0.000    0.000 pool.py:734(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.sysconf}
        1    0.000    0.000    0.000    0.000 util.py:182(Finalize)
        1    0.000    0.000    0.000    0.000 tempfile.py:132(_RandomNameSequence)
        5    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       11    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 connection.py:578(SocketListener)
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 popen_fork.py:12(Popen)
       11    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        9    0.000    0.000    0.000    0.000 context.py:187(get_context)
        3    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        5    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 pool.py:157(__init__)
        9    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        4    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 _compiler.py:405(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 tempfile.py:459(_TemporaryFileWrapper)
        7    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:416(_TemporaryFileCloser)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
        7    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 pool.py:837(IMapIterator)
        5    0.000    0.000    0.000    0.000 util.py:44(sub_debug)
        6    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 process.py:234(ident)
        1    0.000    0.000    0.000    0.000 pool.py:150(_PoolCache)
        1    0.000    0.000    0.000    0.000 pool.py:756(ready)
        1    0.000    0.000    0.000    0.000 random.py:787(SystemRandom)
        1    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 {built-in method posix.confstr}
        4    0.000    0.000    0.000    0.000 {built-in method posix.waitstatus_to_exitcode}
        1    0.000    0.000    0.000    0.000 synchronize.py:326(Event)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        3    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
        1    0.000    0.000    0.000    0.000 util.py:368(ForkAwareThreadLock)
        1    0.000    0.000    0.000    0.000 pool.py:80(MaybeEncodingError)
        1    0.000    0.000    0.000    0.000 pool.py:266(__del__)
        3    0.000    0.000    0.000    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.000    0.000 pool.py:794(MapResult)
